氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メールアドレス,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
福井 豪太,ふくい ごうた,23,1998年07月16日,男,A,fukui_gota@example.com,0439-27-4393,070-8513-1361,274-6656,千葉県市川市南八幡2-4-3,株式会社TSC,370881913809351,01/24,075543246093
中嶋 大,なかじま だい,25,1996年06月28日,男,A,nakajima628@example.ne.jp,03-7558-7184,080-5826-2920,181-2300,東京都中央区八丁堀2-3-403,有限会社ユニバーサル,372146573761245,03/23,611148049016
池田 由紀子,いけだ ゆきこ,62,1959年09月03日,女,A,yukiko_ikeda@example.co.jp,03-6328-9601,080-1573-6817,149-1110,東京都台東区台東4丁目3番6号,,5479219682818965,10/23,106057556865
楠瀬 浩治,くすのせ こうじ,75,1947年05月04日,男,B,kojikusunose@example.co.jp,0576-75-6977,080-1474-7690,505-0164,岐阜県羽島市福寿町浅平2-1-6,,5268116835166109,09/23,958625805200
笹山 諭,ささやま さとし,29,1992年12月13日,その他・不明,AB,satoshi_sasayama@example.org,0466-53-0166,050-0967-6748,215-0636,神奈川県川崎市幸区南加瀬4丁目3番地4号,有限会社クレスト,378401363605621,07/26,001292092780
藤沢 聡美,ふじさわ さとみ,70,1952年05月17日,女,A,fujisawa_517@example.ne.jp,096-992-2537,050-3884-1629,863-7842,熊本県熊本市西区春日2-4-10,,373663471334122,06/24,232024988587
田村 知彦,たむら ともひこ,24,1998年03月21日,男,O,tomohikotamura@example.net,03-1823-7387,050-1309-0946,166-6255,東京都大田区山王3丁目1番10号,株式会社マルニ,5597098458322072,01/24,737738903253
佐々木 千穂,ささき ちほ,51,1971年01月20日,女,O,sasaki120@example.ne.jp,03-4289-6692,080-4788-3019,187-7088,東京都調布市深大寺北町3丁目1番6号,株式会社ライトスタッフ,3588980661710647,01/24,383903732390
鈴木 和彦,すずき かずひこ,32,1990年05月03日,男,A,suzuki_53@example.com,0587-24-4861,080-6677-9152,444-7055,愛知県常滑市樽水町2丁目2番10号,株式会社メビウス,4421057746163396,04/26,687055905164
大橋 香織,おおはし かおり,34,1987年09月26日,その他・不明,A,ohashi_926@example.ne.jp,0476-44-9585,080-8754-0788,290-5257,千葉県我孫子市青山台1-5-7,株式会社STS,4583792970137161,02/23,591036137027
小林 義仁,こばやし よしひと,23,1999年03月24日,男,O,kobayashiyoshihito@example.jp,0467-78-9879,090-1509-5136,227-3090,神奈川県横浜市瀬谷区阿久和西3丁目1番地4号,有限会社鈴屋,373174717452660,01/27,942994572968
村上 翔,むらかみ しょう,35,1987年03月22日,男,AB,sho_murakami@example.ne.jp,09913-5-3236,090-0469-6066,890-6947,鹿児島県鹿児島市清和2丁目1番8号,中央商事株式会社,4818829021924028,09/25,489272936829
明石 真美,あかし まみ,52,1970年01月21日,その他・不明,AB,akashi121@example.org,03-0238-8953,050-9062-7365,164-4065,東京都目黒区下目黒2丁目1番8号,株式会社新光,5265636835897711,08/26,670541342414
小池 香織,こいけ かおり,37,1985年04月24日,女,B,kaori_koike@example.com,03-6450-6981,090-2425-2076,161-2010,東京都中央区日本橋本石町2丁目3番5号,株式会社MSC,4366782738517468,03/26,111340884015
